epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,647.019,0.89481,1.55352,1.07513,0.65946,0.41621,0.51451,0.21569,1.79528,2.35408,2.02187,0.000242087,0.000242087,0.000242087
160,648.707,0.83877,1.37579,1.0048,0.57398,0.35714,0.49483,0.21091,1.81856,2.48777,2.04613,0.000236587,0.000236587,0.000236587
161,650.9,0.91009,1.49794,1.10226,0.57398,0.35714,0.49483,0.21091,1.81856,2.48777,2.04613,0.000231088,0.000231088,0.000231088
162,653.094,0.85012,1.36985,1.08808,0.57398,0.35714,0.49483,0.21091,1.81856,2.48777,2.04613,0.000225589,0.000225589,0.000225589
163,654.832,0.84649,1.6606,1.09416,0.78769,0.28571,0.49558,0.19462,1.86746,2.4868,2.11801,0.000220089,0.000220089,0.000220089
164,657.541,0.78861,1.37456,1.03509,0.78769,0.28571,0.49558,0.19462,1.86746,2.4868,2.11801,0.00021459,0.00021459,0.00021459
165,660.951,0.68801,1.38867,0.9966,0.78769,0.28571,0.49558,0.19462,1.86746,2.4868,2.11801,0.00020909,0.00020909,0.00020909
166,664.012,0.86132,1.36262,1.04055,0.78769,0.28571,0.49558,0.19462,1.86746,2.4868,2.11801,0.000203591,0.000203591,0.000203591
167,666.371,0.81108,1.7146,1.07869,0.78803,0.28571,0.49085,0.1921,1.91559,2.52074,2.16771,0.000198091,0.000198091,0.000198091
168,669.194,0.80303,2.14626,1.14834,0.78803,0.28571,0.49085,0.1921,1.91559,2.52074,2.16771,0.000192592,0.000192592,0.000192592
169,671.605,0.69802,1.44247,0.94276,0.78803,0.28571,0.49085,0.1921,1.91559,2.52074,2.16771,0.000187092,0.000187092,0.000187092
170,674.316,0.85891,1.45655,1.0888,0.7888,0.28571,0.47735,0.20391,1.89551,2.55582,2.11568,0.000181593,0.000181593,0.000181593
171,676.311,0.78329,1.21276,1.04814,0.7888,0.28571,0.47735,0.20391,1.89551,2.55582,2.11568,0.000176094,0.000176094,0.000176094
172,679.079,0.76689,1.14875,1.00034,0.7888,0.28571,0.47735,0.20391,1.89551,2.55582,2.11568,0.000170594,0.000170594,0.000170594
173,682.727,0.82085,1.41272,1.05294,0.7891,0.28571,0.47775,0.20111,1.87121,2.56813,2.12485,0.000165095,0.000165095,0.000165095
174,685.074,0.74014,1.31753,1.01556,0.7891,0.28571,0.47775,0.20111,1.87121,2.56813,2.12485,0.000159595,0.000159595,0.000159595
175,687.698,0.79755,1.40908,1.04793,0.7891,0.28571,0.47775,0.20111,1.87121,2.56813,2.12485,0.000154096,0.000154096,0.000154096
176,690.785,0.72712,1.18892,0.97746,0.78882,0.28571,0.51139,0.21047,1.85274,2.53427,2.14818,0.000148596,0.000148596,0.000148596
177,693.697,0.79642,1.45332,1.07182,0.78882,0.28571,0.51139,0.21047,1.85274,2.53427,2.14818,0.000143097,0.000143097,0.000143097
178,696.171,0.71531,1.20501,0.99308,0.78882,0.28571,0.51139,0.21047,1.85274,2.53427,2.14818,0.000137597,0.000137597,0.000137597
179,698.181,0.74818,1.16339,0.99329,0.78882,0.28571,0.51139,0.21047,1.85274,2.53427,2.14818,0.000132098,0.000132098,0.000132098
180,700.729,0.75748,1.29265,1.00653,0.78886,0.28571,0.50609,0.19884,1.84805,2.50857,2.15839,0.000126598,0.000126598,0.000126598
